Start Date,End Date,Brand,Conversion path,Sales,Purchases,New-to-brand product sales,New-to-brand purchases,Sponsored Brands display frequency,Sponsored Display display frequency,Amazon DSP display frequency,Sponsored Brands video frequency,Amazon DSP online video frequency,Sponsored TV Streaming TV frequency,Amazon DSP Streaming TV frequency,Amazon DSP audio frequency,Sponsored Products frequency,Sponsored Display frequency,Sponsored Display online video frequency,Currency
2026-07-05,2026-07-30,Primal Queen,Sponsored Products > Display (Amazon DSP) > Online Video (Sponsored Brands) > [Purchase],409.0,7.0,175.0,3.0,0.0,0.0,15.714285714285714,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,USD
2026-07-03,2026-07-31,Primal Queen,(Sponsored Display) > [Purchase],3249.0,56.0,2611.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.357142857142857,0.0,USD
2026-07-07,2026-07-07,Primal Queen,Display (Sponsored Brands) > Online Video (Sponsored Brands) > Display (Amazon DSP) > [Purchase],58.0,1.0,58.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-07-17,2026-07-17,Primal Queen,Sponsored Products >  (Sponsored Display) > Display (Sponsored Brands) > [Purchase],116.0,2.0,116.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,USD
2026-07-03,2026-07-31,Primal Queen,Sponsored Products > Display (Sponsored Brands) > [Purchase],1336.0,21.0,756.0,11.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,USD
2026-07-15,2026-07-29,Primal Queen,Online Video (Sponsored Brands) > Sponsored Products >  (Sponsored Display) > [Purchase],116.0,2.0,58.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.5,2.5,0.0,USD
2026-07-27,2026-07-27,Primal Queen,Sponsored Products > Display (Amazon DSP) >  (Sponsored Display) > Display (Sponsored Display) > [Purchase],58.0,1.0,58.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,USD
2026-07-30,2026-07-30,Primal Queen,Display (Amazon DSP) >  (Sponsored Display) > Online Video (Sponsored Brands) > [Purchase],123.99,1.0,0.0,0.0,0.0,0.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,USD
2026-07-14,2026-07-14,Primal Queen,Sponsored Products > Online Video (Sponsored Brands) >  (Sponsored Display) > Display (Amazon DSP) > [Purchase],58.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,USD
2026-07-04,2026-07-31,Primal Queen,Display (Amazon DSP) > Sponsored Products >  (Sponsored Display) > [Purchase],522.0,9.0,58.0,1.0,0.0,0.0,48.77777777777778,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,7.666666666666667,0.0,USD
2026-07-07,2026-07-29,Primal Queen,(Sponsored Display) > Online Video (Sponsored Brands) > [Purchase],182.0,2.0,182.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,USD
2026-07-03,2026-07-27,Primal Queen,Sponsored Products > Online Video (Sponsored Brands) > Display (Amazon DSP) > [Purchase],406.0,7.0,290.0,5.0,0.0,0.0,3.5714285714285716,1.2857142857142858,0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.0,USD
2026-07-10,2026-07-26,Primal Queen,Sponsored Products > Online Video (Sponsored Brands) >  (Sponsored Display) > [Purchase],291.0,5.0,174.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.8,2.2,0.0,USD
2026-07-03,2026-07-31,Primal Queen,Sponsored Products > [Purchase],277999.0,4558.0,201798.0,3324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5383940324703818,0.0,0.0,USD
